n,planta,especie,tratamiento,dato,fruitset,seedset2
650,g225,os,cn,1,0,0
651,g227,os,ag,1,0,0
652,g227,os,au,1,0,0
653,g227,os,en,1,1,65
654,g227,os,cn,1,1,53
655,g254,os,ag,1,0,0
656,g254,os,au,1,1,39
657,g254,os,en,1,1,72
658,g254,os,cn,1,1,73
659,g234,os,ag,1,0,0
660,g234,os,au,1,0,0
661,g234,os,en,1,0,0
662,g234,os,cn,1,1,105
663,g122,os,ag,1,0,0
664,g122,os,au,1,0,0
665,g122,os,en,1,1,
666,g122,os,cn,1,1,
667,g181,os,ag,1,0,0
668,g181,os,au,1,0,0
669,g181,os,en,1,1,
670,g181,os,cn,1,1,124
671,s20,os,ag,1,0,0
672,s20,os,au,1,1,
673,s20,os,en,1,1,
674,s20,os,cn,1,1,
675,s22,os,ag,1,0,0
676,s22,os,au,1,1,
677,s22,os,en,1,1,
678,s22,os,cn,1,1,
679,g226,os,ag,1,0,0
680,g226,os,au,1,1,39
681,g226,os,en,1,1,46
682,g226,os,cn,1,0,0
683,s9,os,ag,1,0,0
684,s9,os,au,1,0,0
685,s9,os,en,1,,
686,s9,os,cn,1,1,4
687,s19,os,ag,1,0,0
688,s19,os,au,1,1,
689,s19,os,en,1,0,0
690,s19,os,cn,1,1,
691,g282,os,ag,1,1,14
692,g282,os,au,1,1,
693,g282,os,en,1,1,68
694,g282,os,cn,1,1,90
695,s28,os,ag,1,0,0
696,s28,os,au,1,0,0
697,s28,os,en,1,0,0
698,s28,os,cn,1,0,0
699,s28,os,oc,1,0,0
