numero,planta,trat,nfruto,semillas,peso,mg,especie
560,t-t16,cn,57,4,0.0196,19.6,ot
561,sa,oc,58,1,0.021,21,os
562,sa,oc,58,2,0.0184,18.4,os
563,sa,oc,58,3,0.0186,18.6,os
564,sa,oc,58,4,0.019,19,os
565,sa,oc,58,5,0.0184,18.4,os
566,sa,oc,58,6,0.02,20,os
567,sa,oc,58,7,0.0184,18.4,os
568,sa,oc,58,8,0.0215,21.5,os
569,sa,oc,58,9,0.0188,18.8,os
570,sa,oc,58,10,0.0205,20.5,os
571,c21b,cn,59,1,0.0083,8.3,oc
572,c21b,cn,59,2,0.0083,8.3,oc
573,c21b,cn,59,3,0.0084,8.4,oc
574,c21b,cn,59,4,0.0079,7.9,oc
575,c21b,cn,59,5,0.0081,8.1,oc
576,c21b,cn,59,6,0.0085,8.5,oc
577,c21b,cn,59,7,0.007,7,oc
578,c21b,cn,59,8,0.0077,7.7,oc
579,c21b,cn,59,9,0.0074,7.4,oc
580,c21b,cn,59,10,0.0082,8.2,oc
581,t23,cn,60,1,0.0167,16.7,ot
582,t23,cn,60,2,0.0138,13.8,ot
583,t23,cn,60,3,0.0156,15.6,ot
584,t23,cn,60,4,0.0163,16.3,ot
585,t23,cn,60,5,0.0148,14.8,ot
586,t23,cn,60,6,0.0137,13.7,ot
587,t23,cn,60,7,0.0176,17.6,ot
588,t23,cn,60,8,0.0168,16.8,ot
589,t23,cn,60,9,0.013,13,ot
590,t23,cn,60,10,0.0117,11.7,ot
591,sf,oc,61,1,0.0172,17.2,os
592,sf,oc,61,2,0.0153,15.3,os
593,sf,oc,61,3,0.0185,18.5,os
594,sf,oc,61,4,0.0177,17.7,os
595,sf,oc,61,5,0.0153,15.3,os
596,sf,oc,61,6,0.0167,16.7,os
597,sf,oc,61,7,0.0175,17.5,os
598,sf,oc,61,8,0.02,20,os
599,sf,oc,61,9,0.0162,16.2,os
600,sf,oc,61,10,0.0166,16.6,os
601,se,ot,62,1,0.0133,13.3,os
602,se,ot,62,2,0.013,13,os
